,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,TOTAL A,TOTAL B
0,National,X,2003,40,1430,1.53846,21,1
1,National,X,2003,41,1682,4.57788,77,0
2,National,X,2003,42,2176,11.6268,252,1
3,National,X,2003,43,2568,17.8349,454,4
4,National,X,2003,44,2753,19.4333,535,0
5,National,X,2003,45,3553,24.2612,859,3
6,National,X,2003,46,4595,28.0958,1289,2
7,National,X,2003,47,5942,33.1202,1960,8
8,National,X,2003,48,6479,34.743,2241,10
9,National,X,2003,49,9598,34.0592,3237,32
10,National,X,2003,50,12422,32.9255,4061,29
11,National,X,2003,51,11783,30.7986,3609,20
12,National,X,2003,52,9748,24.7333,2395,16
13,National,X,2003,53,8461,20.104,1689,12
14,National,X,2004,1,6936,12.4279,853,9
15,National,X,2004,2,5411,9.33284,500,5
16,National,X,2004,3,4329,6.00601,257,3
17,National,X,2004,4,4166,3.98464,163,3
18,National,X,2004,5,3661,2.9227,105,2
19,National,X,2004,6,3530,1.8413599999999999,60,5
20,National,X,2004,7,3136,1.78571,48,8
21,National,X,2004,8,2559,1.48496,26,12
22,National,X,2004,9,2651,0.6789890000000001,10,8
23,National,X,2004,10,2369,0.590967,8,6
24,National,X,2004,11,2239,0.580616,11,2
25,National,X,2004,12,1801,1.33259,9,15
26,National,X,2004,13,1850,0.918919,8,9
27,National,X,2004,14,1778,0.5061869999999999,1,8
28,National,X,2004,15,1564,0.9590790000000001,3,12
29,National,X,2004,16,1449,1.65631,13,11
30,National,X,2004,17,1377,0.798838,4,7
31,National,X,2004,18,1298,0.6933739999999999,3,6
32,National,X,2004,19,1241,0.16116,0,2
33,National,X,2004,20,1105,0.361991,1,3
34,National,X,2004,21,1055,0.56872,3,3
35,National,X,2004,22,823,0.7290399999999999,2,4
36,National,X,2004,23,793,0.37831,1,2
37,National,X,2004,24,844,0.236967,0,2
38,National,X,2004,25,741,0.404858,2,1
39,National,X,2004,26,730,0.410959,1,2
40,National,X,2004,27,573,0.17452,0,1
41,National,X,2004,28,746,0.268097,0,2
42,National,X,2004,29,563,0.35524,0,2
43,National,X,2004,30,671,0.0,0,0
44,National,X,2004,31,628,0.318471,1,1
45,National,X,2004,32,620,0.16129000000000002,1,0
46,National,X,2004,33,647,0.15456,0,1
47,National,X,2004,34,823,0.48602700000000004,3,1
48,National,X,2004,35,827,0.483676,4,0
49,National,X,2004,36,822,0.364964,0,3
50,National,X,2004,37,907,0.771775,5,2
51,National,X,2004,38,890,0.449438,3,1
52,National,X,2004,39,919,1.52339,12,2
53,National,X,2004,40,1860,0.645161,8,4
54,National,X,2004,41,2154,0.649954,13,1
55,National,X,2004,42,2412,1.6169200000000001,28,11
56,National,X,2004,43,2620,1.22137,25,7
57,National,X,2004,44,2771,1.62396,29,16
58,National,X,2004,45,3074,2.0169200000000003,38,24
59,National,X,2004,46,3310,2.77946,71,21
