Category: All categories

Month,flu: (United States)
2004-01,8
2004-02,7
2004-03,3
2004-04,2
2004-05,2
2004-06,2
2004-07,2
2004-08,2
2004-09,4
2004-10,30
2004-11,11
2004-12,9
2005-01,9
2005-02,12
2005-03,7
2005-04,4
2005-05,3
2005-06,2
2005-07,2
2005-08,3
2005-09,8
2005-10,34
2005-11,29
2005-12,13
2006-01,12
2006-02,12
2006-03,14
2006-04,9
2006-05,12
2006-06,6
2006-07,4
2006-08,4
2006-09,6
2006-10,14
2006-11,14
2006-12,10
2007-01,8
2007-02,10
2007-03,6
2007-04,4
2007-05,3
2007-06,2
2007-07,2
2007-08,2
2007-09,4
2007-10,13
2007-11,11
2007-12,7
2008-01,7
2008-02,14
2008-03,8
2008-04,4
2008-05,3
2008-06,2
2008-07,2
2008-08,2
2008-09,5
2008-10,13
2008-11,12
2008-12,7
2009-01,6
2009-02,9
2009-03,6
2009-04,100
2009-05,79
2009-06,20
2009-07,16
2009-08,24
2009-09,56
2009-10,92
2009-11,50
2009-12,17
2010-01,10
2010-02,7
2010-03,5
2010-04,4
2010-05,3
2010-06,2
2010-07,2
2010-08,3
2010-09,8
2010-10,11
2010-11,9
2010-12,8
2011-01,11
2011-02,11
2011-03,7
2011-04,4
2011-05,3
2011-06,3
2011-07,2
2011-08,3
2011-09,8
2011-10,12
2011-11,9
2011-12,7
2012-01,7
2012-02,8
2012-03,7
2012-04,5
2012-05,4
2012-06,3
2012-07,3
2012-08,4
2012-09,8
2012-10,12
2012-11,10
2012-12,17
2013-01,44
2013-02,13
2013-03,9
2013-04,7
2013-05,4
2013-06,3
2013-07,3
2013-08,3
2013-09,9
2013-10,14
2013-11,11
2013-12,14
2014-01,26
2014-02,11
2014-03,7
2014-04,6
2014-05,4
2014-06,3
2014-07,3
2014-08,4
2014-09,9
2014-10,18
2014-11,12
2014-12,20
2015-01,21
2015-02,13
2015-03,9
2015-04,8
2015-05,5
2015-06,4
2015-07,3
2015-08,4
2015-09,9
2015-10,15
2015-11,11
2015-12,9
2016-01,9
2016-02,12
2016-03,12
2016-04,8
2016-05,7
2016-06,4
2016-07,3
2016-08,4
2016-09,9
2016-10,14
2016-11,10
2016-12,11
2017-01,16
2017-02,20
2017-03,13
2017-04,8
2017-05,5
2017-06,4
2017-07,4
2017-08,5
2017-09,10
2017-10,15
2017-11,13
2017-12,22
2018-01,65
2018-02,55
2018-03,16
2018-04,9
2018-05,6
2018-06,4
2018-07,4
2018-08,5
2018-09,13
2018-10,23
2018-11,16
2018-12,17
2019-01,21
2019-02,25
2019-03,19
2019-04,10
2019-05,6
2019-06,5
2019-07,4
2019-08,5
2019-09,13
2019-10,23
2019-11,18
2019-12,26
2020-01,38
2020-02,44
